ident	Longitude	Latitude	comment
89_12022	849700	7865700	start
2_12363	852100	7902300	start
13_12363	852300	7902500	start
25_12363	852500	7902900	start
46_12363	852900	7903100	start
48_12363	852900	7903500	start
67_12363	853300	7903300	start
68_12363	853300	7903500	start
76_12363	853500	7903100	start
84_12363	853700	7902700	start
52_12500	855100	7854300	start
53_12500	855100	7854500	start
62_12500	855300	7854300	start
73_12500	855500	7854500	start
80_12500	855500	7855900	start
84_12500	855700	7854700	start
85_12500	855700	7854900	start
90_12500	855700	7855900	start
96_12500	855900	7855100	start
97_12500	855900	7855300	start
98_12500	855900	7855500	start
99_12500	855900	7855700	start
35_12510	854700	7874900	start
42_12510	854900	7874300	start
65_12510	855300	7874900	start
82_12510	855700	7874300	start
21_12635	856500	7802100	start
31_12635	856700	7802100	start
42_12635	856900	7802300	start
61_12635	857300	7802100	start
62_12635	857300	7802300	start
72_12635	857500	7802300	start
74_12635	857500	7802700	start
77_12635	857500	7803300	start
90_12635	857700	7803900	start
13_12659	856300	7850500	start
14_12659	856300	7850700	start
17_12659	856300	7851300	start
19_12659	856300	7851700	start
23_12659	856500	7850500	start
24_12659	856500	7850700	start
28_12659	856500	7851500	start
38_12659	856700	7851500	start
55_12659	857100	7850900	start
59_12659	857100	7851700	start
7_12672	856100	7877300	start
27_12672	856500	7877300	start
28_12672	856500	7877500	start
35_12672	856700	7876900	start
37_12672	856700	7877300	start
39_12672	856700	7877700	start
41_12672	856900	7876100	start
46_12672	856900	7877100	start
49_12672	856900	7877700	start
50_12672	856900	7877900	start
2_12841	858100	7892300	start
11_12841	858300	7892100	start
13_12841	858300	7892500	start
21_12841	858500	7892100	start
42_12841	858900	7892300	start
51_12841	859100	7892100	start
55_12841	859100	7892900	start
5_12990	860100	7868900	start
6_12990	860100	7869100	start
14_12990	860300	7868700	start
17_12990	860300	7869300	start
27_12990	860500	7869300	start
28_12990	860500	7869500	start
46_12990	860900	7869100	start
57_12990	861100	7869300	start
67_12990	861300	7869300	start
17_13001	860300	7891300	start
25_13001	860500	7890900	start
26_13001	860500	7891100	start
27_13001	860500	7891300	start
28_13001	860500	7891500	start
37_13001	860700	7891300	start
38_13001	860700	7891500	start
31_13002	860700	7892100	start
41_13002	860900	7892100	start
65_13002	861300	7892900	start
74_13002	861500	7892700	start
1_13102	862100	7770100	start
6_13102	862100	7771100	start
18_13102	862300	7771500	start
21_13102	862500	7770100	start
25_13102	862500	7770900	start
29_13102	862500	7771700	start
39_13102	862700	7771700	start
41_13102	862900	7770100	start
48_13102	862900	7771500	start
66_13102	863300	7771100	start
67_13102	863300	7771300	start
68_13102	863300	7771500	start
78_13102	863500	7771500	start
81_13102	863700	7770100	start
82_13102	863700	7770300	start
90_13102	863700	7771900	start
94_13102	863900	7770700	start
98_13102	863900	7771500	start
1_13313	864100	7870100	start
2_13313	864100	7870300	start
3_13313	864100	7870500	start
5_13313	864100	7870900	start
6_13313	864100	7871100	start
13_13313	864300	7870500	start
18_13313	864300	7871500	start
24_13313	864500	7870700	start
37_13313	864700	7871300	start
2_13584	868100	7768300	start
6_13584	868100	7769100	start
17_13584	868300	7769300	start
22_13584	868500	7768300	start
25_13584	868500	7768900	start
33_13584	868700	7768500	start
38_13584	868700	7769500	start
39_13584	868700	7769700	start
40_13584	868700	7769900	start
44_13584	868900	7768700	start
52_13584	869100	7768300	start
54_13584	869100	7768700	start
58_13584	869100	7769500	start
61_13584	869300	7768100	start
67_13584	869300	7769300	start
72_13584	869500	7768300	start
77_13584	869500	7769300	start
84_13584	869700	7768700	start
89_13584	869700	7769700	start
90_13584	869700	7769900	start
6_13755	870100	7789100	start
17_13755	870300	7789300	start
18_13755	870300	7789500	start
39_13755	870700	7789700	start
40_13755	870700	7789900	start
47_13755	870900	7789300	start
48_13755	870900	7789500	start
58_13755	871100	7789500	start
67_13802	871300	7883300	start
70_13802	871300	7883900	start
76_13802	871500	7883100	start
83_13802	871700	7882500	start
95_13802	871900	7882900	start
97_13802	871900	7883300	start
38_13954	872700	7865500	start
50_13954	872900	7865900	start
51_13954	873100	7864100	start
53_13954	873100	7864500	start
54_13954	873100	7864700	start
60_13954	873100	7865900	start
67_13954	873300	7865300	start
69_13954	873300	7865700	start
70_13954	873300	7865900	start
71_13954	873500	7864100	start
78_13954	873500	7865500	start
84_13954	873700	7864700	start
86_13954	873700	7865100	start
1_13965	872100	7886100	start
2_13965	872100	7886300	start
28_13965	872500	7887500	start
29_13965	872500	7887700	start
33_13965	872700	7886500	start
34_13965	872700	7886700	start
35_13965	872700	7886900	start
36_13965	872700	7887100	start
50_13965	872900	7887900	start
60_13965	873100	7887900	start
4_13967	872100	7890700	start
5_13967	872100	7890900	start
6_13967	872100	7891100	start
11_13967	872300	7890100	start
14_13967	872300	7890700	start
16_13967	872300	7891100	start
17_13967	872300	7891300	start
18_13967	872300	7891500	start
23_13967	872500	7890500	start
24_13967	872500	7890700	start
27_13967	872500	7891300	start
28_13967	872500	7891500	start
38_13967	872700	7891500	start
1_14080	874100	7794100	start
2_14080	874100	7794300	start
4_14080	874100	7794700	start
13_14080	874300	7794500	start
17_14080	874300	7795300	start
19_14080	874300	7795700	start
25_14080	874500	7794900	start
35_14080	874700	7794900	start
36_14080	874700	7795100	start
37_14080	874700	7795300	start
44_14080	874900	7794700	start
48_14080	874900	7795500	start
52_14080	875100	7794300	start
58_14080	875100	7795500	start
65_14080	875300	7794900	start
67_14080	875300	7795300	start
69_14080	875300	7795700	start
76_14080	875500	7795100	start
77_14080	875500	7795300	start
80_14080	875500	7795900	start
85_14080	875700	7794900	start
12_14081	874300	7796300	start
21_14081	874500	7796100	start
25_14081	874500	7796900	start
27_14081	874500	7797300	start
35_14081	874700	7796900	start
38_14081	874700	7797500	start
51_14081	875100	7796100	start
57_14081	875100	7797300	start
68_14081	875300	7797500	start
69_14081	875300	7797700	start
79_14081	875500	7797700	start
82_14081	875700	7796300	start
8_14440	878100	7871500	start
17_14440	878300	7871300	start
29_14440	878500	7871700	start
36_14440	878700	7871100	start
39_14440	878700	7871700	start
59_14440	879100	7871700	start
68_14440	879300	7871500	start
69_14440	879300	7871700	start
77_14440	879500	7871300	start
79_14440	879500	7871700	start
99_14440	879900	7871700	start
21_14606	880500	7880100	start
22_14606	880500	7880300	start
23_14606	880500	7880500	start
24_14606	880500	7880700	start
26_14606	880500	7881100	start
28_14606	880500	7881500	start
31_14606	880700	7880100	start
34_14606	880700	7880700	start
43_14606	880900	7880500	start
46_14606	880900	7881100	start
47_14606	880900	7881300	start
48_14606	880900	7881500	start
58_14606	881100	7881500	start
9_14767	882100	7881700	start
19_14767	882300	7881700	start
36_14767	882700	7881100	start
39_14767	882700	7881700	start
46_14767	882900	7881100	start
56_14767	883100	7881100	start
59_14767	883100	7881700	start
70_14767	883300	7881900	start
77_14767	883500	7881300	start
86_14767	883700	7881100	start
87_14767	883700	7881300	start
95_14767	883900	7880900	start
99_14767	883900	7881700	start
35_14930	884700	7884900	start
36_14930	884700	7885100	start
44_14930	884900	7884700	start
57_14930	885100	7885300	start
58_14930	885100	7885500	start
74_14930	885500	7884700	start
78_14930	885500	7885500	start
99_14930	885900	7885700	start
1_15539	892100	7814100	start
11_15539	892300	7814100	start
14_15539	892300	7814700	start
16_15539	892300	7815100	start
19_15539	892300	7815700	start
26_15539	892500	7815100	start
30_15539	892500	7815900	start
39_15539	892700	7815700	start
46_15539	892900	7815100	start
47_15539	892900	7815300	start
51_15539	893100	7814100	start
52_15539	893100	7814300	start
54_15539	893100	7814700	start
7_15703	894100	7821300	start
16_15703	894300	7821100	start
27_15703	894500	7821300	start
33_15703	894700	7820500	start
35_15703	894700	7820900	start
43_15703	894900	7820500	start
53_15703	895100	7820500	start
3_16169	900100	7786500	start
6_16169	900100	7787100	start
8_16169	900100	7787500	start
9_16169	900100	7787700	start
12_16169	900300	7786300	start
15_16169	900300	7786900	start
17_16169	900300	7787300	start
23_16169	900500	7786500	start
27_16169	900500	7787300	start
28_16169	900500	7787500	start
30_16169	900500	7787900	start
32_16169	900700	7786300	start
36_16169	900700	7787100	start
37_16169	900700	7787300	start
47_16169	900900	7787300	start
48_16169	900900	7787500	start
24_16173	900500	7794700	start
31_16173	900700	7794100	start
34_16173	900700	7794700	start
41_16173	900900	7794100	start
42_16173	900900	7794300	start
51_16173	901100	7794100	start
52_16173	901100	7794300	start
28_16187	900500	7823500	start
38_16187	900700	7823500	start
47_16187	900900	7823300	start
58_16187	901100	7823500	start
67_16187	901300	7823300	start
75_16187	901500	7822900	start
76_16187	901500	7823100	start
77_16187	901500	7823300	start
78_16187	901500	7823500	start
79_16187	901500	7823700	start
3_16858	908100	7876500	start
15_16858	908300	7876900	start
23_16858	908500	7876500	start
36_16858	908700	7877100	start
45_16858	908900	7876900	start
46_16858	908900	7877100	start
63_16858	909300	7876500	start
66_16858	909300	7877100	start
72_16858	909500	7876300	start
82_16858	909700	7876300	start
86_16858	909700	7877100	start
1_16988	910100	7814100	start
8_16988	910100	7815500	start
11_16988	910300	7814100	start
13_16988	910300	7814500	start
27_16988	910500	7815300	start
30_16988	910500	7815900	start
34_16988	910700	7814700	start
35_16988	910700	7814900	start
37_16988	910700	7815300	start
45_16988	910900	7814900	start
50_16988	910900	7815900	start
61_16988	911300	7814100	start
62_16988	911300	7814300	start
63_16988	911300	7814500	start
79_16988	911500	7815700	start
83_16988	911700	7814500	start
84_16988	911700	7814700	start
86_16988	911700	7815100	start
3_17020	910100	7878500	start
